,Question_ID,Title,Content,Created at,User_ID,Is answered,Views count,Votes count,Bookmarks count,Answers count,Tags,Comments count,Question existed
10,30,How can I convey the idea of a programming language vs. a markup language?,"When I try and teach web development to absolute beginners, I seem to always get a question about the roles of HTML/CSS/JS and about how the browser renders the HTML. It seems to me that the confusion lies in an explanation of what a markup language is as compared to a regular language (e.g. python, C, java, ruby). What is the best way to give an overview of what HTML is while being sure that my students understand HTML as a markup language?Would it be useful to include some of the history of HTML? Preface it by teaching markdown? Or some other way?",2017-05-23 15:26:30,58,True,666,15,3,8,"['lesson-ideas', 'web-development', 'markup-languages', 'introductory-lesson']",4,False
11,35,"When teaching Web Development, should server or client side come first?","I teach full stack web development because the purpose of the course is to give an overview of how a complete website is created, from SQL for database management to HTML/CSS/JS for front-end to ruby on rails as a backend. Would it be better to teach the front-end (HTML/CSS/JS) first or the back-end (Rails/SQL)?My instincts would suggest front end because the students can type something and immediately see results which can be much more engaging, but teaching JS as the first ""real"" programming language also bothers me because of the many confusing and missing language features.",2017-05-23 15:32:39,58,True,433,6,0,10,"['curriculum-design', 'web-development', 'front-end', 'back-end']",1,False
12,44,Recommended IDE for teaching web development to beginners,"I have been assisting an IT teacher who has recently started teaching computer science to year 7-9s (11-13 year-olds). This year they will just be covering basic client-side web development: HTML, CSS and a bit of JavaScript.I was shocked to see him, and the kids, writing their HTML in Notepad- it makes code a lot harder to read, and simple typos, such as a missing bracket, almost impossible to spot. Which isn't ideal, especially for beginners. For my own coding, I always use InteliJ or WebStorm, however, I would worry that this might go in the opposite direction, and actually over-complicate things.Anyone got any suggestions of a simple free IDE or text editor for web development for school kids? (It would need to be possible to install on school network).I'm thinking maybe something simple like Notepad++, Sublime, or possibly Atom. But would love to here your feedback or suggestions on what might be good for school kids.Thanks very much,
Alicia Sykes 🚀",2017-05-23 16:00:31,55,True,"2,519",18,1,9,"['web-development', 'ide', 'primary-school']",3,False
13,46,What are effective approaches for teaching dynamic programming?,"Dynamic programming is a subject that's notoriously difficult to learn and to teach. It's one thing to educate oneself, say by reading the appropriate chapters in Kleinberg & Tardos or CLRS, and working through a sufficient number of example problems. It's another matter to learn or teach this material in a classroom setting at the high school, undergraduate, or graduate level. Intrinsic to the subject is the skill of identifying the type of problem structure that's amenable to the dynamic programming approach.In light of this, what are effective approaches for teaching dynamic programming?",2017-05-23 16:02:52,62,True,764,16,2,3,"['lesson-ideas', 'algorithms']",0,False
14,59,Using microcontrollers in an Introductory course,"Are there any advantages to using small microcontrollers (such as an Arduino, etc.) with tactile, physical I/O (such as buttons, LEDs, robotic actuators, etc.)? For instance, does it help create more interest in learning computer programming, or widen the potential audience among kids and undergrads for going further in their CS education?",2017-05-23 16:28:52,59,True,284,6,1,3,"['student-motivation', 'robotics', 'arduino', 'physical-computing']",1,False
15,63,When should concurrency and parallel multi-processing concepts be introduced?,"Given the current trends with Moore's law and computer systems design, where even the cheapest cell phones and Raspberry Pi's, etc., are multi-threaded multi-processors, and any gains in performance (per Watt, per dollar, etc.) seem to be heading towards even more concurrent hardware:How early should the concepts of parallel computation be introduced in computer science education (as the almost required default form of actual programming practice)?What are the minimum prerequisite concepts before the requirement of concurrent thinking be introduced?",2017-05-23 16:43:48,59,True,148,10,3,5,['concurrency'],4,False
16,64,on-What are pre-requisites for teaching version control to a high school CS class?,"I'm interested in introducing version control to a HS CS class, and was considering starting with Github since it's a fairly standard tool used by developers.What are pre-requisites for understanding version control that I should make sure students master first?Any suggestions on other ways to introduce this topic to students are definitely welcome!",2017-05-23 16:43:57,86,True,177,11,0,3,"['github', 'revision-control']",0,False
17,66,How does one create a balanced AI curriculum in light of the popularity of Deep Learning?,"During the past decade, interest in machine learning has exploded, especially due to the many and growing successes of deep learning approaches using convolutional and other neural networks.To those familiar with a modern artificial intelligence curriculum, say embodied by Russel & Norvig, ML may be safely regarded as a proper subset of AI. Yet due to the increasing popular attention to ML, more and more we bear witness to the conflation of AI and ML; even some computer scientists use AI and ML interchangeably.As CS educators who teach AI courses, how do you develop a balanced curriculum that incorporates ML, yet pays attention to crucial problems like commonsense reasoning and inference, which don't share the spotlight with ML and have so far, in fact, proven resistant to ML approaches, including deep learning? ",2017-05-23 16:57:27,62,True,377,18,1,2,"['artificial-intelligence', 'machine-learning', 'deep-learning', 'curriculum-design']",0,False
18,69,How can I integrate teaching source code control (Git/Mercurial/etc) into my introductory CS class?,"In the words of Andrew Clay Shafer, “In software development, version control is the foundation of every other Agile technical practice.” (Allspaw & Robbins, 2010).  Yet, 57% of CS curricula does not provide practical exposure to it. (Betz)How can I teach the use of source code control as part of an introductory CS class?  To put it another way: How can we introduce source code control early in the curriculum?",2017-05-23 17:13:34,53,True,201,14,2,2,['revision-control'],8,False
19,76,Do automatic style hints help students to understand the language they're learning?,"Do automatic style hints (like those provided by linters) significantly increase the student's understanding of the language they're learning? I am asking because I assist in a course that uses a language that is not widely used. A linter does not exist yet, and I'm wondering whether it would be worth the effort to make one.Also, does it matter whether the style hints are provided as you type rather than upon saving or compiling the program?I would love to see quantified studies about this, but personal experience is very welcome too.Some things I am thinking about for a functional language (examples use Haskell) are listed below, but these are not vital for answering this question. Experience with other paradigms is appreciated as well!When parentheses are(n't) needed. A common faux pas is to surround every application of a constructor with parentheses ((Just 5)), even when they are not needed, because it is necessary in pattern matches.Writing int instead of Int, making a type variable instead of a concrete type.Using where clauses for helper functions.Suggesting pattern matches where guards where used (i.e., not checking | x == 5 but using a pattern match where x is replaced by 5.Recursion that may not terminate. For instance, students tend to get confused writing functions that get no parameters, and end up writing things like instance minBound ... where minBound = minBound. (Not really a style hint)",2017-05-23 18:23:51,None,True,712,14,0,3,"['best-practice', 'coding-style', 'ide', 'linters']",6,False
20,79,How to raise students' security awareness in programming?,"My first website with a login form had the password hardcoded in the JavaScript code, and if the entered password matched it would redirect to a private URL that was just not linked anywhere, but still public if anyone knew the URL, and yes, that URL was also hardcoded in the JavaScript code.So in terms of security this was basically a ""Do not read"" banner, with the ""private"" content just written below it.Now, this is just a specific example of me not knowing any better in the early days of web development. There are many other domains in programming where you might introduce vulnerabilities if you don't think about what you're doing.Is there a generic technique to teach students to keep an eye on their code's security, maybe trying to get them into figuratively hacking their own programs and exploit vulnerabilities?",2017-05-23 18:42:46,69,True,397,15,0,6,"['web-development', 'security']",2,False
21,80,What to consider when choosing version of Python?,"I will be giving a small course on the Python programming language to a group of interns this summer. As I am sure you know, there are many different versions of the Python language.I am wondering what to consider when choosing a particular version of the Python programming language. Is choosing the latest version of Python always the correct decision?",2017-05-23 18:44:01,99,True,251,10,2,1,['python'],0,False
22,84,"In a course about Turing machines, how many questions like ""Construct a Turing Machine that does X"" should I include?","In a course about Fundamental Computer Science, which includes Turing Machines,
how many questions like ""Construct a Turing Machine that does X"" should I include?There should be at least a few basic constructions, like doubling a string of ones or checking whether a number is even, checking whether one number is larger than another, to show how a Turing Machine works. However, I'm unsure whether to include more difficult problems, like:Also, should I just allow the blank symbol and one other symbol or should I allow any number of symbols? Or maybe a mix. The difficulty will largely depend on this.Students learn thinking abstractly about these problems. However, this abstract thinking is different from the abstract thinking that is used in most programming activities, so I'm unsure. ",2017-05-23 19:38:55,111,True,85,5,0,1,['turing-machines'],1,False
23,89,Should I have written tests on basic programming skills?,"When making more complex programs, it is natural that one needs to run the program to see whether things work and fixing bugs. However, if one makes a lot of mistakes in basic programming, e.g. writing = instead of ==, this will slow down coding a lot, so it needs to be avoided as much as possible. A possible solution to make students learn the basic syntax very well is to have a written test where students need to make small programs that only use basic syntax. Therefore, students need to learn to do these things right the first time, and also know the basic syntax very well.Will this be effective? Is there a better way?",2017-05-23 20:14:55,111,True,953,16,1,9,"['best-practice', 'grading', 'syntax', 'assessment']",1,False
24,93,Should I teach modern web development in an introductory programming course? How?,"I'm currently teaching a introductory programming class in a technological university course (FYI, this is a type of university course that is not a BS).The recommended language to use for this class is C and I'm following this guideline, but I know that most of the students will work as web developers at the end of the course (some of them already works as client support in IT companies), so I want to introduce them to some modern web concepts, but I don't know how.They will have other classes during the course on other important subjects for web development (like computer networks and software engineering), but won't have any class that teaches modern programming languages for web, like Javascript.Is this introductory programming class a good point to introduce some modern web development concepts (maybe with some Javascript snippets together with the C examples for comparison), or would this approach confuse them more than help them?",2017-05-23 20:30:50,116,True,"1,029",11,1,4,"['curriculum-design', 'web-development', 'undergraduate', 'javascript', 'c']",6,False
25,104,Best Practices / Effective Strategies For Building Diversity In High School CS Programs,"What works for building programs that are accessible to ""non-traditional"" CS students and which help to support the students so that they enjoy the class, start seeing themselves as ""CS types,"" and ultimately succeed in the program and go on in CS?References to concrete evidence and past attempts to do the same thing would be appreciated so this doesn't become all speculation and opinion.",2017-05-24 00:06:19,134,True,269,9,1,2,"['social-context', 'equity', 'classroom-environment']",4,False
26,106,Scheme vs Haskell for introducing functional programming,"So, I am not interested in which language is better, because that is a matter of opinion.  What I care about is whether making a switch from Scheme to Haskell will directly help me accomplish my goals.  What programming language concepts does each language bring to the fore?So, I am seeking input from folks who have taught using these languages about the kinds of experiences they had.  How did the language features of Haskell or Scheme make your students' experience better (or worse)?For context, my kids come into their junior year knowing Java, C, and Python pretty well.  For their junior year, it was decided that there should be a course in theoretical computer science.  In order to have labs, I further decided that we should move away from imperative programming and expose the kids to a functional language.  So, while the class was not about functional programming, the kids did quite a lot of it.I used Scheme (DrRacket, to be specific), but over the course of the year, I found that kids were sneaking set functions into their labs, which ran (to my thinking) counter to the goals of the class.  I was also a little displeased with the rather unintuitive way that boolean functions and contracts interacted in the language.I have, as a result, been thinking about migrating over to Haskell.  If I did this, I know that I would need to redesign my labs (and I wonder if the Turing Machines I have them design would suddenly run very slowly!) But, other than not having a set function, what other benefits might Haskell bring to my students?  I don't mind putting in the work to redesign the course if there is a sufficient benefit.",2017-05-24 01:45:34,27,True,"1,433",9,2,3,"['functional-programming', 'language-choice']",2,False
27,108,What qualities should be considered when designing a front end project?,"I'm working on designing a project where the students will use HTML+CSS to replicate a specific layout which I will give them as a picture. The goal of the project is to allow each student to practice their HTML+CSS skills by implementing the design in a clean way that follows the best practices that I have taught.I would want to give each person a different task (or at least have more than one design so that each person could get a random design to implement). In order to ensure that the assignments I design are challenging, interesting, distinct, and of similar difficulty, what qualities should I try to emphasize? Keep in mind that these students should have a full knowledge of HTML+CSS, so anything can be included.Both specific ideas for layouts and CSS/HTML skills to try to include are valuable. Some things that I have thought of have included multi-column layouts, a sticky nav, or notifications/lightboxes.",2017-05-24 02:32:33,58,True,85,5,0,1,"['web-development', 'problem-structure', 'project', 'front-end']",0,False
28,112,What can Snap! do that Scratch cannot?,"I teach a short introductory unit in my course that uses Scratch to get students familiar with programming concepts before introducing the syntax of a text-based programming language. For context, we move from Scratch to C to Python. My question is this: what can students be taught in Snap!, as another block-based programming environment, that they cannot be taught in Scratch?I read on their site that it Snap! combines Scratch with Scheme, but as the latter is not a language I've studied, I don't quite see the motivation for this combination. ",2017-05-24 06:01:01,76,True,"6,065",13,3,3,"['language-choice', 'scratch', 'snap', 'block-based-programming']",5,False
29,113,Explaining basic html structure,"I am trying to think of a lesson plan about html, and I am looking for a good way to explain the concept of the structure of an html file.I was wondering whether the subject would be better understood if I firstly described xml in general. What I had in mind is teaching a basic xml block:and then use this basic block to get into the subject, after which we veer off to html specific xmls. The students are at a beginner's level, and HTML is the first technology with a structure like this that they will encounter, So this lesson is meant to introduce them to HTML.So, is knowing the concept and basics of xml structure important and necessary for understanding html?",2017-05-24 06:31:43,150,True,552,11,2,8,"['lesson-ideas', 'introductory-lesson', 'html', 'xml']",6,False
30,114,How to encourage participation in the national olympiad in informatics?,"Currently, relatively few participate in the national olympiad in informatics (high school) of my country. This is partially because the first round takes a bit of time (up to 40 hours if one wants to reach a perfect score, but 10 hours should be sufficient for a passing score). I'd like to encourage participation in the national olympiad in informatics, because I think that several students are good enough to do well in the olympiad and I think they would like it.How can I encourage participation?",2017-05-24 06:33:40,111,True,124,6,0,3,"['high-school', 'extracurricular-club']",2,False
31,120,"Database theory (normalization) for beginners (adult education, MS Access)","When teaching database basics to non IT beginners, what is the minimum requirement in theory and technical terms?
So what is absolutely necessary to talk about DBs? What helps students grasp the basic idea of relational databases?Especially with normal forms. NF1-2-3? Boyce-Codd? Or even NF4-5-6 makes sense?In my trainings we don't have a lot of time, we focus on the practice, but since this is a new concept to my students, they will need to understand a few fundamental things. Context:I'm holding company trainings. As tasks get more and more complex at corporations, and the general IT literacy is (somewhat, slowly) raising, more and more people are looking for ways to swap out their huge and cumbersome ""Excel can do it all"" solutions. This either means they start learning VBA programming or they turn towards databases, namely MS Access. The trainings I do are 2-3 day intensive courses with very strong practical focus.",2017-05-24 10:03:52,51,True,176,5,0,1,"['cs-theory', 'databases', 'industry-training']",11,False
32,121,"How to ""teach"" CSS for students? [closed]","
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                Closed 4 years ago.I have been an expert & mentor in HTML, CSS, JavaScript. When it comes to teaching new students on how to program using JavaScript, it is straight forward. Students can learn that if you do certain actions, you will be able to get the things right. But often I struggle with teaching CSS or design.They are extremely good with HTML structuring and JavaScripts, but when comes to CSS laying out and the ""creative"" and ""design"" part, I am not sure how to train them like how I am experienced. Has anyone been through this and is there a way to really ""teach"" design sense and creativity in CSS?",2017-05-24 10:09:05,164,True,120,1,0,2,"['html', 'css', 'javascript']",5,False
33,129,How to get girls more interested in computer science?,"It’s no secret that despite the phenomenal rise in computing over the last 50 years, women are still not engaging with computer science at the same rate as men.Girls are less likely to enroll in introductory computer science courses in school and the number of females studying computer science is near an all-time low. Therefore, the vast majority of computer science jobs will be pursued and filled by men.According to Google's Diversity Gaps in Computer Science report of 2016:,Twice as many male students (34%) as female students (16%) 
  saying they are “very interested” in learning CS in the future, 
  and nearly twice as many female students (24%) as male 
  students (13%) saying they are “not at all interested.”Since I am very passionate about helping girls and women take an interest in computer science I would like to know the main ideas and theories about what keeps them back from learning it to eventually come up with a solution.",2017-05-24 12:45:17,170,True,782,11,3,4,['diversity-gap'],3,False
34,130,How to teach the importance of indentation,"I'm trying to teach why indentation is important, but the student doesn't indent. I asked why he doesn't indent, then he answered ""That's because it’s a hassle.""
It's OK to say ""you should indent"", but I want him to understand why indentation is important.How do you teach why indentation is important?",2017-05-24 12:58:03,172,True,"5,728",32,5,13,['coding-style'],7,False
35,134,How to explain to people the importance of algorithms in computer programming?,"Many computer science problems can be solved by more than one algorithm. Usually those algorithms have different problem-solving approaches and therefore different strengths and weaknesses.My impression is that some developers focus on choosing the most efficient algorithm when they are for example participating in programming competitions to increase their chances of winning, but this does not always translate to real world applications.Bad choices (e.g. always using bubble sort for a sorting operation instead of something more efficient) will eventually slow down the application.  But most of the time, what with computers being so fast, better choices don't seem to make a discernible difference.  How can we help teach developers that these choices ultimately do matter, and that they should aim for more efficient algorithms?",2017-05-24 14:14:04,162,True,"2,635",-1,0,3,['algorithms'],2,False
36,137,The use of the Octal system,"I was teaching the Octal number system and a student raised the question ""Why should we use the octal number system, if we have binary and hexadecimal?"" I was very confused, trying to explain the importance of this topic. For context, I am teaching a course about the relationship between hardware and software.",2017-05-24 14:35:51,46,True,"5,092",13,2,8,['number-system'],5,False
37,143,Designing rubrics for AP Computer Science-style free response questions,"When I create questions in the style of the College Board's AP Computer Science Free Response Questions, I always attempt to create authentic rubrics that reflect how such questions would be graded.  However, I have not found any clear guides about how to do this.  I have noticed a few trends, but I wonder if anyone else has more (or something more definitive):You can see rubrics for the 2010 exam here as a sample.  Obviously, being able to create high-quality AP CS FRQ rubrics would help get the kids used to such grading - it could be the grading style used on exams through the entire course.",2017-05-24 16:33:04,27,True,221,7,1,1,"['grading', 'ap-computer-science-a']",3,False
38,146,What is a good analogy for the Object Oriented paradigm?,"What is the most effective analogy that you have used or have thought of to teach the object oriented paradigm? Hopefully the analogy can translate well to inheritance as well, and includes the concepts of instance methods, class methods and properties. Even better would be if it also includes the concept of singleton classes.A similar question exists on Stack Overflow. I would like to duplicate it here because on Stack Overflow it was closed an ""Not Constructive.""It also exists on Software Engineering, where is not closed but it has historical lock. This means that ""it is not considered a good, on-topic question for this site."" Again, it should be re-asked here.",2017-05-24 21:17:32,58,True,"4,557",20,8,18,"['object-oriented-paradigm', 'teaching-analogy']",8,False
39,153,Command-line Java in AP CS A,"Context: Over the past school year I spent a significant portion of my time preparing to teach AP CS A next year. From choosing textbooks to writing the College Board syllabus, I essentially started from scratch in designing my course. I'm pleased with all aspects of it as it currently stands, but there is one nagging element: the programming environment.All students taking AP CS A next year have experience using Cloud9 because that's what we used for C/Python/HTML/CSS this year in AP CSP. Only in the last couple weeks did I discover how easy it is to install the JDK in a Cloud9 workspace and write, compile, and execute programs in Java from the command line. (I had read somewhere a while ago that Java and Cloud9 didn't play nicely.) I had been BlueJ all the way until that point, and I do still very much like BlueJ. However, not having taught the class before, only designed it, here's my (hopefully specific enough) question:Will students lose anything in their understanding of and proficiency with Java, especially in terms of the AP Exam, if the class only uses a command-line environment for program compilation and execution?There are many pros/cons to one IDE over another -- a topic which I think is too broad for this community. I just want to make sure, from those who have experience with this course, if there's something that the command-line environment lacks for students that an IDE like BlueJ doesn't lack. I don't want to end up doing students a disservice with respect to the objectives of the course based on this decision.Edit: Cloud9 is a cloud-based IDE, which makes it ideal for my 1:1 Chromebook environment (however, I do have access to a PC lab for additional software, so that is not a restricting factor for me). As they define it, ""Cloud9 combines a powerful online code editor with a full Ubuntu workspace in the cloud."" You essentially get a text editor and a terminal for compiling and running programs. I've found that anything I can do via a Linux command line, I can do in Cloud9. It has a number of additional features that make it great for classroom use. I originally chose it because it's the environment used for the CS50 IDE. See more here.",2017-05-25 04:42:03,76,True,743,7,0,3,"['java', 'ap-computer-science-a', 'ide', 'command-line']",2,False
40,154,What kind of game (in Scratch) would require use of a list? [closed],"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                Closed 4 years ago.I teach an introductory Scratch class to a group of elementary-school students. Most of the focus is on having fun creating simple games, but i still try to introduce a little higher-level programming as well, so that they have the tools when they decide they need them.What are some relatively easy games that require using a list that i can assign them?
Ideally it should be something that can be done in an hour-long lesson. ",2017-05-25 05:06:17,166,True,126,1,0,2,"['scratch', 'arrays']",5,False
41,161,Programming languages specifically designed for beginners,"Is there a good beginner's programming language, specifically designed for learners, maybe even kids?
Something beginners can sink their teeth into and get results quickly. Results that are more than a ""Hello world!"" or a program that adds two integers. Something easy to use, but a thing that can guide them through the basics.Phrogram (née KPL) was a good example, but it has sadly died (see pics at bottom; simple interface, simple codes, yet they look and feel like a modern programming environment and language - in small).Maybe it is an existing mainstream programming language with a simplified IDE, maybe it is a full learner's solution.Just a few ideas what to look for in a beginner's languageExamples from Phrogram:

",2017-05-25 11:39:47,51,True,"1,904",25,4,13,"['best-practice', 'language-choice']",9,False
42,172,How can I maintain interest in front end?,"When I teach front end web development, it always happens that I start the year with a bunch of students who are ready to redesign Facebook on day 1. With expectations like that, it's always a letdown when I start talking about what a tag is, what a markup language is, CSS priorities, code quality, and generally the details of how good design is implemented.How can I stop students from dropping off and losing interest? This is especially pertinent to me because my class is extracurricular and is something interested kids can take if they want to, but if they get bored they can just stop coming. The kids are in high school.Specifically, I'd think that my activities could be changed to be more exciting and let the students do more from the get go, I'm just not sure how I could do that.",2017-05-25 15:56:56,58,True,692,7,0,5,"['high-school', 'student-motivation', 'web-development', 'front-end', 'engagement']",1,False
43,174,Presenting Mapping Reducibility (for P vs NP),"So, I am preparing to teach about P and NP for the first time.  I know that I need to teach about Mapping Reducibility (aka One-to-One Reducibility).  Can anyone recommend a set of algorithms that are easy to use to clearly illustrate the idea?  The algorithms in this first brush with the topic don't, themselves, have to be NP - I just want to show a remapping that is extremely clear in order to impart the concept.",2017-05-25 16:18:27,27,True,67,4,0,2,"['lesson-ideas', 'complexity-theory']",2,False
44,180,What are the merits of including the history of computers in the entry level curriculum?,"Should some portion of introductory CS curriculum include something about the history of computers, especially with respect to Moore's law and what that might imply about the growth of computing power?Would this help give students a perspective regarding the potential of how computing and programming might change in the near future, based on how things have changed in the past?",2017-05-25 18:46:41,59,True,340,13,1,6,"['social-context', 'computer-history']",10,False
45,185,Do I need Prolog to teach logic concepts?,"I think that the use of some logic programing language like Prolog, for example, could be a good way to explain the symbolic/mathematical logic concepts but also apply this concepts in a real programming world, however, but I'm not getting it.The problem is that Prolog are not largely used in real applications. I tried to use this IBM's NLP as an example, but this pattern matching exercise does not covers much concepts from mathematical logic.The question is: How can I use programming to instruct students in topics related to symbolic/mathematical logic?",2017-05-25 19:20:27,116,True,217,4,0,3,['language-choice'],7,False
46,187,Most difficult concepts or skills in introductory courses,-,-,-,-,-,-,-,-,-,-,True
47,198,"How do you structure broad, open-ended, freely chosen projects so that students use class time wisely?","If we are to believe Daniel Pink, autonomy is one of the fundamental aspects of motivation, so integrating student choice is extremely valuable if I want my students to remain highly engaged.  I have found that at certain times (such as after the AP test in AP Computer Science), it is very nice to allow students to choose a project in a very open-ended way.  Want to work in Unity?  Go for it.  Want to create an Android app?  Perfect.  Want to make an SMS-based game using Twilio?  No problems here.  If you also occasionally make room for highly open-ended projects like this, how do you ensure that the lab time is not wasted?  I will place my answer below, but I am extremely interested in how others do this.",2017-05-26 04:23:47,27,True,304,7,2,4,"['labs', 'project', 'student-motivation']",0,False
48,201,Teaching students to hunt for and debug their own errors,"I'm sure we've all had this kind of conversation:Student: Mr. Choirbean, my code is crashing.Teacher: Okay, what error is it giving you when you crash?Student: Error message?  Was there one of those? I don't know what it said.Teacher: (sighs) Okay, there's always an error message.  Let's run it again and see...Students who can find and fix their own bugs are empowered and more successful. So, how do you foster independence in your budding debuggers?",2017-05-26 14:00:29,27,True,944,16,1,5,['debugging'],4,False
49,203,Programming curriculum for elderly students,"I have created a basic computer education project for an audience of elderly students (over 50 years old).The course is very basic, with lessons from ""How to turn on/off your home computer"" to ""Create your first e-mail"" to basic use of the Microsoft Office suite.After the end of those classes, some students started to look for a more advanced course, covering topics such as programming. With them in mind, we were trying to define a basic CS/programming curriculum for them.One of the challenges here is the students' expectations:I know that is impossible meet everyone's expectations, but does anyone have any previous experience in the creation of a programming curriculum for an elderly audience? How can we balance the students' expectations?",2017-05-26 15:04:19,116,True,597,11,0,6,"['curriculum-design', 'adult-education']",7,False
